D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
300.0,2.9822455817187894e7,3.9832814159163386e7,8.37739317709725e9,1.2141867627723671e10,1.2513147099737635e10,2.0624610155666523e10,1.2631449299918812e10,0.2,1.8963641842042902e-8,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
50.0,8.363152042461249e6,1.3896944467114523e7,6.5786169085583165e6,1.5647172871401496e9,1.671730731841186e9,1.5868226916088486e9,1.6941608410723135e9,0.01,6.744361855005251e-11,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
50.0,8.363326825089759e6,1.3896944467114523e7,6.421663481124622e8,1.5647135021258147e9,1.671730731841186e9,2.2227344218668747e9,1.6941608410723135e9,0.1,6.744361855005252e-9,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
50.0,8.363762536449844e6,1.3896944467114523e7,2.498656237883557e9,1.5647028425942593e9,1.671730731841186e9,4.0801259343849335e9,1.6941608410723135e9,0.2,2.6977447420021008e-8,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
300.0,NaN,4.895617859000639e7,NaN,NaN,1.37067051210033e10,NaN,1.3841608696086735e10,0.01,6.744361855005251e-11,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
300.0,3.6503244450104855e7,4.895617859000639e7,2.975711363147094e9,1.3279010346444324e10,1.37067051210033e10,1.6371835383506742e10,1.3841608696086735e10,0.1,6.744361855005252e-9,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
300.0,3.650422207309898e7,4.895617859000639e7,1.1847474027710701e10,1.3278993169530857e10,1.37067051210033e10,2.5246311080241825e10,1.3841608696086735e10,0.2,2.6977447420021008e-8,0.2920542156158621,1.3818669389865956e20,4.369846950482572e18,1.0023744672545445e11,0.03162277660168379
50.0,1.0247847155855812e7,1.7277515887356333e7,9.322715160511795e6,1.7288506931124024e9,1.8523724027453218e9,1.7563280202275696e9,1.8791069592467468e9,0.01,9.603039748254289e-11,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
50.0,1.0248111233421626e7,1.7277515887356333e7,9.070654950561033e8,1.7288454530000165e9,1.8523724027453218e9,2.6545315045856495e9,1.8791069592467468e9,0.1,9.60303974825429e-9,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
50.0,1.0248831702584459e7,1.7277515887356333e7,3.5161319237058883e9,1.7288289907537136e9,1.8523724027453218e9,5.264844291008662e9,1.8791069592467468e9,0.2,3.841215899301716e-8,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
300.0,NaN,6.0865261277341135e7,NaN,NaN,1.518780628010389e10,NaN,1.5343897751148232e10,0.01,9.603039748254289e-11,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
